sentence1	sentence2	sem	syn	morph	lex
She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.	She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.	3.455	0.837209302	0.97079824	0.4953588
"In a mixture of ancient pagan and modern Christian rites, the villagers have staged a series of ceremonies hoping to erase the misfortunes they believe have kept them poor."	In a mixture of ancient Melanesian pagan and modern Christian ceremonies the people tried again to erase the misfortunes they believe have kept them poor since that long-ago meal.	4	0.847457627	0.986244976	0.709291807
"The Dow Jones industrial average .DJI edged up 13.33 points, or 0.15 percent, to 9,196.55."	"The Dow Jones industrial average <.DJI> was off 7.75 points, or 0.08 percent, at 9,175.47."	2.5	0.894736842	0.938006324	0.6
Monkeypox is usually found only in central and western Africa.	"Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin."	0.25	0.666666667	0.938636786	0.333333333
"The film is the second of a trilogy, which will wrap up in November with The Matrix Revolutions."	"Reloaded is the second installment of a trilogy; ""The Matrix Revolutions"" is slated for debut in November."	3.833	0.8	0.961515331	0.571428571
"In addition, the Justice Department said that the FBI has conducted ''fewer than 10'' investigations involving visits to mosques."	"In addition, ""fewer than 10"" FBI offices have conducted investigations involving visits to Islamic mosques, the Justice Department said."	3.75	0.736842105	0.985403997	0.833333333
The launch coincides with the JavaOne developers' conference in San Francisco this week.	The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.	3.25	0.714285714	0.962346032	0.5625
"A Royal Duty is based on his experiences with Diana, Princess of Wales and letters allegedly to and from her."	"The royal household was bracing itself for any more revelations in A Royal Duty, based on the former servant’s time with Diana, Princess of Wales."	2.75	0.695652174	0.956239586	0.4
"The army said the raid, which comes just days after Israeli troops shot and killed Abdullah Kawasme, the Hamas leader in the city, targeted militants in Hamas."	"The arrests came just days after Israeli troops shot and killed Abdullah Kawasme, the militant group's leader in Hebron."	3	0.85106383	0.981861406	0.483093704
"SARS went on to claim the lives of 44 people in the Toronto area, including two nurses and a doctor."	"The virus killed 44 people in the Toronto area, including one doctor and two nurses."	3.2	0.8	0.967775168	0.569850272
"Apple Computer's new online music service sold more than 1 million songs during its first week of operation, the company said Monday."	Apple Computer Inc. said Monday it exceeded record industry expectations by selling more than 1 million songs since the launch of its online music store a week ago.	4.6	0.784313725	0.976059532	0.551724138
He had been arrested twice before for trespassing and barred from the complex - home to his mother and two children.	He had been arrested twice before for trespassing and was barred from the complex.	3.6	0.823529412	0.968762361	0.585283146
Oracle Corp's Chairman and CEO Larry Ellison didn't rule out sweetening the company's unsolicited offer to acquire rival PeopleSoft Inc.	Oracle chairman Larry Ellison has hinted that the company could yet again increase its offer for rival PeopleSoft.	4.4	0.682926829	0.941137381	0.364083407
"The Portuguese weather service said Europe's heatwave was caused by a mass of hot, dry air moving from the southeast."	"The heatwave was due to a mass of hot, dry air from the southeast, said Mario Almeida of Portugal's weather service."	4.056	0.697674419	0.989570279	0.72
"Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant, they announced at a press conference yesterday."	"Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant, Wyden and Dorgan said Monday in a letter to the Pentagon."	3.5	0.875	0.973295963	0.642857143
"Still, the ""somewhat ambiguous ruling"" might be a setback for Static Control depending on how it developed its competing product, Merrill Lynch analyst Steven Milunovich said."	"But Merrill Lynch analyst Steven Milunovich said the ""somewhat ambiguous ruling"" by regulators might be a setback for Static Control depending on how it developed its competing product."	5	0.814814815	0.988514321	0.903225806
The monkeys could track their progress by watching a schematic representation of the arm and its motions on a video screen.	"The arm was kept in a separate room, but the monkeys could track their progress by watching a representation of the arm and its motions on a video screen."	4	0.8	0.988240336	0.677419355
"That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia."	His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.	4	0.88372093	0.96405625	0.519517967
"The Standard & Poor's 500 index advanced 6.48, or 0.7 per cent, to 990.51."	"The broader Standard & Poor's 500 Index .SPX rose 6.48 points, or 0.66 percent, to 990.51."	4.75	0.777777778	0.975943049	0.65
Agriculture ministers from more than one hundred nations are expected to attend the three-day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U.S. Department of Agriculture.	U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.	3.75	0.740740741	0.949161648	0.414096772
Complicating the situation is the presence of battle-hardened Liberians who have been fighting on both sides.	"Fighting has continued sporadically in the west, where it is complicated by the presence of battle-hardened Liberians on both sides."	4	0.789473684	0.974100434	0.5
This year the Audubon Society once again hosts its annual Christmas Bird Count.	"It's the National Audubon Society's annual Christmas Bird Count, now in its 104th season."	3.5	0.689655172	0.948891955	0.5
"Before it was removed, the site listed in broken English the rules for hackers who might participate."	"Organizers established a Web site, http://defacerschallenge.com, listing in broken English the rules for hackers who might participate."	3	0.888888889	0.964000199	0.590909091
Doctors have speculated that the body’s own estrogen protects against cell damage and improves blood flow.	Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.	4.2	0.75	0.963368603	0.466328879
They also found shortness was associated with a family history of hearing loss.	Shortness was found twice as often in those with hearing loss.	3.4	0.833333333	0.934652953	0.423240862
"Cisco executives said they were encouraged by $1.3 billion in cash flow and the increase in net income, but hoped for a rebound."	"Cisco executives were encouraged by $1.3 billion in cash flow and the increase in net income, but said they remained ``cautiously optimistic'' about a rebound."	4.6	0.88	0.992895292	0.8
"In an E-mail statement to the Knoxville News Sentinel, Shumaker said, ''I am not giving any consideration to resignation."	"I am not giving any consideration to resignation,"" Shumaker said in a statement."	4	0.727272727	0.987805541	0.524589428
A poll showed that the FBI bugging of the mayor had given a boost to his reelection effort against GOP opponent Sam Katz.	A poll released this week showed that the FBI bugging of the mayor has given a boost to his re-election effort.	4	0.844444444	0.982651052	0.705577826
"The injured passenger at John Peter Smith Hospital died later Friday morning, Jones said."	"The injured passenger at John Peter Smith died later in the morning; his name has not been released, Jones said."	3.643	0.764705882	0.970090541	0.608695652
"Doctors had planned to deliver him two weeks early, on or around November 14."	"A Caesarean had originally been planned in mid- November, two weeks early."	3.6	0.846153846	0.933996297	0.4953588
"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie."""	"The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details""."	4	0.916666667	0.979687519	0.677192763
"The technology-laced Nasdaq Composite Index .IXIC rose 17.26 points, or 1.06 percent, to 1,640.06, based on the latest data."	"The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73."	1	0.744186047	0.93655614	0.390912151
"Founders of the group are Matsushita Electric, Sony, Hitachi, NEC, Royal Philips Electronics, Samsung, Sharp and Toshiba."	"CELF's founding members are Hitachi, Matsushita, NEC, Philips, Samsung, Sharp, Sony, and Toshiba."	3.4	0.838709677	0.985172502	0.705577826
"Is it in the food supply?"" says David Ropeik, director of risk communication at the Harvard Center for Risk Analysis."	"It's not zero, said David Ropeik, director of risk communication at the Harvard Center for Risk Analysis."	1.75	0.894736842	0.971763313	0.6191985
"During a screaming match in 1999, Carolyn told John she was still sleeping with Bergin."	"She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, ""Baywatch"" hunk Michael Bergin."	3	0.647058824	0.962955991	0.458333333
"On the other hand, if this will help further establish Steve's innocence, we welcome it."""	"If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it."""	3.25	0.8125	0.977966022	0.699063827
"Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee."	He said he also expects to have the support of lawmakers from other agricultural states.	3.4	0.742857143	0.966040812	0.558422539
"Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women, aged 16 and 18."	"Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens, 16 and 18 years."	3.2	0.857142857	0.985200134	0.681715031
Such a step could put the issue before the UN Security Council.	The matter could then be sent to the U.N. Security Council.	2.8	0.833333333	0.949807464	0.383351839
"He planned to stay all day until the river crested, which was forecast for late last night."	He and the other lawyers planned to stay until the river starts receding.	2.4	0.666666667	0.931590303	0.399812879
"The camp hosts summer religious retreats for children and other events year-round, according to its Web site."	"The Saint Sophia Camp hosts religious retreats for children during the summer months as well as other events year round, according to its Web site."	3.4	0.790697674	0.981317086	0.592592593
Dealers said the single currency's downward momentum against the dollar could pick up speed if it broke below $1.15.	Dealers said the euro's downward momentum may pick up speed should it break below $1.15.	3.6	0.894736842	0.972421646	0.622795758
"Gemstar's shares gathered up 2.6 percent, adding 14 cents to $5.49 at the close."	"Gemstar shares moved higher on the news, closing up 2.6 percent at $5.49 on Nasdaq."	3.8	0.764705882	0.930331367	0.611111111
"Along with chipmaker Intel, the companies include Sony Corp., Microsoft Corp., Hewlett-Packard Co., IBM Corp., Gateway Inc. and Nokia Corp."	"Along with chip maker Intel, the companies include Sony, Microsoft, Hewlett-Packard, International Business Machines, Gateway, Nokia and others."	4.8	0.9	0.984816902	0.691768396
"Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day."	"In a show of corporate solidarity, Kroger Co., which owns Ralphs, and Albertson Inc. locked out their workers the next morning."	3.8	0.80952381	0.978190117	0.64
"According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures."	"The Hispanic population increased by 9.8per cent from the April 2000 census figures, despite less favourable social and economic conditions than in the 1990s."	3.333	0.636363636	0.969119434	0.5
Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.	"Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close."	2.5	0.756756757	0.958911379	0.571428571
"The Dow Jones industrial average <.DJI> was off 58.69 points, or 0.64 percent, at 9,137.86."	"The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday."	2.4	0.769230769	0.947414781	0.599197566
"His lawyer, Pamela MacKey, said Bryant expects to be completely exonerated."	"Mr. Bryant is innocent and expects to be completely exonerated, Mackey said in a statement."	3.8	0.769230769	0.959297877	0.529411765
"It was the best advance since Oct. 1, when the index gained 22.25."	"Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25."	3	0.702702703	0.959953819	0.47826087
Mr. Mask said Mr. Cullen would be taken from the Somerset County Jail by Thursday and moved to the Ann Klein Forensic Hospital just outside Trenton for psychiatric care.	"Charles Cullen, 43, was transferred from the Somerset County Jail in Somerville to the Anne Klein Forensic Center, a 150-bed psychiatric treatment facility in Trenton."	3.692	0.727272727	0.957899215	0.41840225
Scientists believed Stardust trapped thousands of particles of dust.	Stardust was designed to gather thousands of dust particles streaming from Wild 2.	3	0.727272727	0.92337253	0.428571429
The report by the independent expert committee aims to dissipate any suspicion about the Hong Kong government's handling of the SARS crisis.	A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.	2.75	0.780487805	0.969232203	0.444990831
Both devices implement the v1.2 standard's eSCO facility to provide the basis for new cordless telephony applications.	BlueCore3 also implements v1.2's eSCO facility to provide the basis for advanced cordless telephony applications for Bluetooth transmission.	3.25	0.769230769	0.975635342	0.65
"The drop in core wholesale prices in April reflected falling prices for cars, trucks, men's and boy's clothes and cigarettes."	"That was the biggest drop since August 1993 and stemmed from falling prices for cars, trucks, men's and boys' clothes and cigarettes."	3.5	0.8	0.971345451	0.555555556
"International rescue workers are scouring flattened debris for survivors in Iran's shattered ancient Silk Road city of Bam after a violent earthquake killed more than 20,000 people."	International rescue workers hacked desperately through flattened debris for survivors and cemeteries overflowed in Iran's ancient Silk Road city of Bam yesterday.	3	0.807692308	0.970021396	0.575121579
"Griffith, a Mount Airy native, now lives on the North Carolina coast in Manteo."	"Griffith, 77, grew up in Mount Airy and now lives in Manteo."	4	0.769230769	0.950601497	0.583448879
The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.	"The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said."	4.667	0.711111111	0.959921868	0.458333333
"I notice a mood change in their priorities, one politician said."	"I notice a mood change in their priorities, said one Iraqi politician after meeting with Mr. Bremer."	3.333	0.642857143	0.978513566	0.684210526
"Heather, 35, who lost a leg in a road accident, is thought to have steel plates fitted in her hips, which would make natural childbirth impossible."	Former model Lady McCartney lost a leg in a road accident in 1993 and is understood to have steel plates fitted in her hips which would make natural childbirth difficult.	2.4	0.857142857	0.961428641	0.709677419
"The network is also dropping its Friday night ""Dateline"" edition."	"The network will drop one edition of ""Dateline,"" its newsmagazine franchise."	3.857	0.952380952	0.945163787	0.533333333
Vice President Dick Cheney and Mississippi Republican gubernatorial candidate Haley Barbour acknowledge the cheering crowd.	Vice President Dick Cheney says Mississippi Republican Haley Barbour would be a good governor because of his government and business savvy.	2.4	0.722222222	0.944587279	0.454545455
"The 51-year-old nurse worked at North York General Hospital, the epicentre of the latest outbreak."	"Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak."	3	0.769230769	0.970769994	0.5
Rusch has also allowed five or more earned runs in each of his last three starts.	Redman has allowed two earned runs or less in six of his nine starts.	2	0.8	0.957360802	0.583448879
Mr. Turner transferred about 10 million shares to a charitable trust before they were sold.	The sales leave Mr. Turner with about 45 million shares in AOL.	1.6	0.740740741	0.910241591	0.366425842
He also recruited others to participate in the scheme by convincing them to receive fraudulently obtained merchandise he had ordered for himself.	He also recruited other people to take delivery of fraudulently obtained merchandise he had ordered.	4	0.756756757	0.974076474	0.443883362
The New York Mets then selected outfielder Lastings Milledge from Lakewood Ranch High School in Florida.	"The Mets took Lastings Milledge, an outfielder from Florida, with the 12th pick."	3.8	0.689655172	0.939128481	0.469706531
Florida Sen. Bob Graham was not identifiable by 61 percent of those polled.	Kerry was viewed favorably by 66 percent of those polled; Dean at 57 percent.	1.273	0.814814815	0.910689153	0.4375
"The broader Standard & Poor's 500 Index .SPX rose 3.47 points, or 0.36 percent, to 977.59."	"The tech-laden Nasdaq Composite Index .IXIC shed 8 points, or 0.45 percent, to 1,645."	1	0.777777778	0.927266513	0.443765347
"As a result, 24 players broke par in the first round."	"Twenty-four players broke par in the first round, the third highest figure in U.S. Open history."	3	0.689655172	0.957285598	0.5
Albertsons and Kroger's Ralphs chain locked out their workers in response.	Kroger's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity.	4	0.75862069	0.974521532	0.666666667
"The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36."	"The Nasdaq composite index fell 2.95, or 0.2 percent, for the week to 1,912.36 after stumbling 37.78 yesterday."	2	0.761904762	0.966758714	0.476190476
"Shares of SCO closed at $10.93, down 28 cents, in Monday trading on the Nasdaq Stock Market."	"IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange."	1	0.810810811	0.938487432	0.428571429
"The House voted 425 to 2 to clear the bill, the first of 13 that Congress must pass each year to fund the federal government."	The bill is among the first of 13 that Congress must pass each year to fund the federal government.	3	0.863636364	0.977371246	0.634219281
"Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus."	"ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus."	4.75	0.833333333	0.970115817	0.65
"Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14."	"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent."	2.75	0.684210526	0.944248727	0.429918786
The procedure is generally performed in the second or third trimester.	"The technique is used during the second and, occasionally, third trimester of pregnancy."	4.5	0.833333333	0.942319717	0.4375
"Besides Hampton and Newport News, the grant funds water testing in Yorktown, King George County, Norfolk and Virginia Beach."	"The grant also funds beach testing in King George County, Norfolk and Virginia Beach."	3	0.787878788	0.976192532	0.524589428
He said the attackers left behind leaflets urging staff at the Ishtar Sheraton to stop working at the hotel and demanding U.S. forces leave Iraq.	He said the attackers left behind leaflets urging workers at the Ishtar Sheraton to stop working at the hotel.	3	0.844444444	0.986720098	0.70377731
"With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15."	"With diplomacy heating up in the nearly 10-month-old crisis, Chinese Foreign Minister Li Zhaoxing flies to Japan on Sunday en route to South Korea on August 13."	3	0.771929825	0.983138911	0.75862069
Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.	The Fed also said the risks to the economy were biased toward weakness.	2.588	0.857142857	0.94689323	0.4953588
"There is the real potential for a secondary collapse, Gov. James McGreevey said."	"The damaged area of the garage was not stable, with ``the real potential for a secondary collapse,'' McGreevey said."	3.6	0.6875	0.966857964	0.458333333
No. 2 HP saw its Unix server sales dropped 3.6 percent to $1.36 billion.	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.	2.333	0.75	0.909729582	0.469706531
"People are obviously inconvenienced, said Dr. Jim Young, Ontario's commissioner of public safety."	"We're being hyper-vigilant, said Dr. James Young, Ontario's commissioner of public safety."	2.25	0.896551724	0.971319573	0.705882353
"The others were given copies of ""Dr. Atkins' New Diet Revolution"" and told to follow it."	"The researchers gave copies of ""Dr. Atkins' New Diet Revolution"" to the carb-cutters."	2.5	0.866666667	0.975007748	0.640994389
"The rapper's lawyer, Mark Gann, didn't return calls for comment."	"The 27-year-old rapper's attorney in the civil matter, Mark Gann, did not return calls for comment."	4.5	0.709677419	0.975728424	0.65
"Also weighing on the market was news that General Motors GM.N planned to issue $10 billion in debt, in part to plug a hole in its pension plan."	"Also hurting was news General Motors GM.N was to issue $10 billion in debt, in part to plug a hole in its pension plan."	4.75	0.925925926	0.992330433	0.798429034
Russin did not comment; his lawyer did not attend the hearing and did not return phone messages.	"His lawyer, a cousin, Basil Russin, did not attend the hearing and did not return phone messages."	3.4	0.882352941	0.947161856	0.666666667
"Licensing revenue slid 21 percent, however, to $107.6 million."	"License sales, a key measure of demand, fell 21 percent to $107.6 million."	4	0.583333333	0.956426989	0.529411765
"Hispanics, the fastest growing ethnic group in the US, have overtaken blacks to become the largest minority in the US, according to newly released government figures."	"Hispanics have officially overtaken African Americans as the largest minority group in the US, according to a report released by the US Census Bureau."	3.5	0.68	0.977587806	0.560610255
"The Bishop of Armidale, Peter Brain, was forthright."	"He hasn't got much choice, said the Bishop of Armidale, Peter Brain."	2	0.666666667	0.964657016	0.5
"When fully operational, the facility is expected to employ up to 1,000 people."	"The plant would employ 1,000 people when fully built out, the company said."	4	0.785714286	0.934918034	0.466666667
The American Stock Exchange biotech index .BTK surged 5 percent.	The Philadelphia Stock Exchange's semiconductor index .SOXX jumped 6.10 percent.	1.4	0.818181818	0.961946144	0.5
"I really liked him and I still do, Cohen Alon told the Herald yesterday."	"And I really liked him, and I still do."	3.2	0.695652174	0.967606888	0.577033108
"For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent."	"For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent."	1.8	0.680851064	0.970957897	0.446339706
State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him.	Missouri Education Commissioner Kent King said he was disappointed by the scores.	3.2	0.8	0.9558874	0.484856297
"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address."	"When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines."	4.8	0.702702703	0.962624713	0.64627284
"Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales."	Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.	1.4	0.723404255	0.947462716	0.493281663
Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group.	"SCO changed its name to Tarantella, and Caldera later changed its name to the SCO Group."	2.6	0.882352941	0.968131108	0.578086342
"Officers threw him to the ground and handcuffed him, and Reyna dropped a knee into his back, according to testimony."	"That's when officers threw him to the ground and handcuffed him, according to testimony."	3.25	0.742857143	0.978702252	0.537296517
"The best-performing stock was Altria Group Inc., which rose more than 27 percent to close at $42.31 a share."	"Altria Group Inc. MO.N fell 50 cents, or 1.2 percent, to $41.81."	1.75	0.722222222	0.910218844	0.343644639
"Officials are trying to retrieve the bodies from the water,"" police officer J.D. Tambe told Reuters, adding 26 of the dead were women."	"Officials are trying to retrieve the bodies from the water,"" police official J.D. Tambe told Reuters."	3	0.829268293	0.985630081	0.636804044
"According to market research from The NPD Group, the number of people downloading music dropped from 14.5 million in April to 10.4 million in June."	"The number of households acquiring music fell from a high of 14.5 million in April to 12.7 million in May and 10.4 million in June, according to NPD."	3.5	0.689655172	0.984362537	0.6
"This is an easy case in my view and wholly without merit, both factually and legally."	"This case is wholly without merit, both factually and legally, Judge Denny Chin scoffed."	3.25	0.733333333	0.963983095	0.665557513
The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts.	"Maximum sustained winds were around 40 mph, with stronger gusts."	2.25	0.769230769	0.906748138	0.329620315
"The WiFi potties were to be unveiled this summer, at music festivals in Britain."	The world's first portal potty was soon to be rolled out at summer festivals in Great Britain.	4	0.75	0.962619052	0.473684211
"MEN who drink tea, particularly green tea, can greatly reduce their risk of prostate cancer, a landmark WA study has found."	"DRINKING green tea can dramatically reduce the risk of men contracting prostate cancer, a study by Australian researchers has discovered."	4.25	0.829268293	0.967498746	0.515583128
Forecasters said warnings might go up for Cuba later Thursday.	Watches or warnings could be issued for eastern Cuba later on Thursday.	4	0.636363636	0.941388516	0.461538462
Shiites make up 20 percent of the country's population.	"Sunnis make up 77 percent of Pakistan's population, Shiites 20 percent."	3	0.727272727	0.961983741	0.642857143
"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year."	"The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually."	3.4	0.884615385	0.987050461	0.733333333
"The consumer group generated $4.47 billion of profit and $20 billion of revenue from January to June, 53% of Citigroup's profit and revenue."	"It generated $4.47 billion of profit and $20 billion of revenue in the year's first half, 53 percent of Citigroup's totals."	3.8	0.693877551	0.986636757	0.619068604
"GALLOWAY TOWNSHIP, N.J. Annika Sorenstam drew the crowds, Michelle Wie got the publicity but Angela Stanford took her first LPGA victory."	"GALLOWAY TOWNSHIP, N.J. >> Annika Sorenstam and Michelle Wie drew the crowds, but Angela Stanford took her first LPGA victory."	4	0.857142857	0.989558659	0.875
British Airways' New York-to-London runs will end in October.	British Airways plans to retire its seven Concordes at the end of October.	2.5	0.75	0.929420626	0.357142857
"The new policy gives greatest weight to grades, test scores and a student's high school curriculum."	"Academic achievement -- including grades, test scores and high school curriculum -- are given the highest priority."	4.5	0.75	0.956505274	0.473684211
"The new version, W32/Sobig.C-mm, had already reached a ""high level"" outbreak status by Monday, according to security analysts."	"Security analysts said the new version, W32/Sobig.C-mm, had already reached a ""high level"" outbreak status by mid-afternoon on Monday."	4.5	0.818181818	0.989224018	0.791666667
"The only other person who had not been accounted for Sunday was a man from Fort Worth, Texas."	"Another person, a man from Fort Worth, Texas, also was missing."	3.6	0.620689655	0.928118091	0.47768754
"The broader Standard & Poor's 500 Index <.SPX> gave up 11.91 points, or 1.19 percent, at 986.60."	"The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points, or 1.01 percent, at 1,636.94."	0.8	0.820512821	0.938501281	0.371974512
AFTRA members approved the merger by a vote of 75.88% to 24.12%.	"AFTRA, on the other hand, approved the merger by a whopping 75 percent."	4.091	0.740740741	0.922244474	0.4375
"The currency briefly weakened slightly on Monday to trade at 55.34/39, not far from its record low of 55.75."	"The currency briefly weakened on Monday morning but rebounded to trade at 55.25/29, little changed from Friday."	2.25	0.731707317	0.952071304	0.568476396
"While some other parts of Africa have been used as staging grounds for the terror group, Malawi previously had not been a major focus of investigations into al-Qaida."	"While some other parts of Africa have been used as Al Qaeda staging grounds, Malawi had previously not been a major focus of investigations into the group."	5	0.892857143	0.99601928	0.899477066
"On Sunday, a U.S. soldier was killed and another injured in southern Iraq when a munitions dump exploded."	"On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq."	3.75	0.87804878	0.993797994	0.869565217
"I'm real excited to be a Cleveland Cavalier, James said."	"I'm really excited about going to Cleveland, James told ESPN.com."	3.667	0.695652174	0.947058093	0.615384615
"According to law enforcement officials, the person arrested was a known sophisticated hacker."	"According to law enforcement officials, the individual decrypted passwords on the server."	2.667	0.88	0.957879638	0.532035874
"Excluding litigation charges, RIM's loss narrowed even further to 1 cent a share."	"Excluding patent litigation, RIM's loss for the quarter was $700,000, or 1 cent per share."	3.333	0.709677419	0.963210749	0.5
"The broad Standard & Poor's 500 Index .SPX gained 19.72 points, or 1.98 percent, to 1,015.69."	"The Dow Jones industrial average .DJI jumped 2.09 percent, while the Standard & Poor's 500 Index .SPX leapt 2.23 percent."	3	0.666666667	0.950848666	0.47826087
"It will also help reform the Royal Solomon Islands Police, strengthen the courts and prisons system and protect key institutions such as the Finance Ministry from intimidation."	"The intervention force will confiscate weapons, reform the police, strengthen the courts and prison system and protect key institutions such as the Finance Ministry."	3.444	0.862745098	0.98556478	0.653461304
"Mr Alibek said: ""Our outcomes are very encouraging."	"Our outcomes are very encouraging, George Mason researcher Ken Alibek said."	3.8	0.736842105	0.941445029	0.615384615
"A jury convicted rapper C-Murder, also known as Corey Miller, of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub."	"Rapper C-Murder has been convicted of second-degree murder, a crime that carries an automatic life sentence, in the shooting death of a 16-year-old inside a Jefferson Parish nightclub."	3.6	0.761904762	0.981046984	0.612903226
Wells’ other series include NBC’s ER and Third Watch.	"Wells' other series include NBC's ""ER"" and ""Third Watch."""	5	0.857142857	0.972872626	0.625
"Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada."	"Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday."	3	0.7	0.963150336	0.476190476
Five-time Tour de France winner and cancer survivor Lance Armstrong had a few words of advice for other cancer survivors in Denver on Friday.	Five-time Tour de France winner Lance Armstrong is in Denver today for a meeting about surviving cancer.	3.4	0.744186047	0.964849519	0.48952914
"She survives him as do their four children -- sons Anthony and Kelly, daughters Linda Hope and Nora Somers -- and four grandchildren."	Hope is survived by his wife; sons Anthony and Kelly; daughters Linda and Nora Somers; and four grandchildren.	3.8	0.871794872	0.924822546	0.555243368
Police using pepper spray arrested 12 people Monday night at a march and rally by about 400 activists protesting an annual training seminar of the Law Enforcement Intelligence Unit.	Police used pepper spray and rubber bullets to disperse a downtown march and rally last night by activists protesting an annual police intelligence-training seminar.	3.6	0.740740741	0.967813908	0.491238452
The department ordered an 18.2 percent reduction for Allstate Texas Lloyds and a 12 percent reduction for State Farm Lloyds.	"The department ordered a 12 percent reduction for State Farm Lloyds, the state's largest insurer, and an 18.2 percent reduction for Allstate Texas Lloyds, the third-largest."	3.6	0.68	0.97830879	0.677419355
Colgate shares closed Monday at $56.30 on the New York Stock Exchange.	Colgate shares were down 30 cents at $56 in morning trade on the New York Stock Exchange.	2.4	0.866666667	0.96987416	0.578947368
"Several shots rang out in the darkness, but only one gator had been killed by 11 p.m."	"Several shots rang out Wednesday night, but no gators were killed then."	2.4	0.733333333	0.916111929	0.399812879
"The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower, or 0.05 percent, at 997.02."	"The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points, or 0.45 percent, at 1,653.44."	0.889	0.8	0.93108687	0.42081396
